CompanyName,CompanyNumber,incorporation_date,CompanyStatus,SICCode_SicText_1,SICCode_SicText_2,SICCode_SicText_3,SICCode_SicText_4,Company_URL_official_company_website,Game_what_they_say_they_do_description_taken_from_their_website,Number_of_employees_2024,Number_of_employees_2023,Number_of_employees_2022,Location_of_main_manufacturing_site_ideally_google_maps_location
"A&W NEW ENERGY AND MATERIAL CO., LTD",14876952,2023-05-17,Active,"22210 - Manufacture of plastic plates, sheets, tubes and profiles","27110 - Manufacture of electric motors, generators and transformers",35300 - Steam and air conditioning supply,46190 - Agents involved in the sale of a variety of goods,,,,,,
A-ONE CONTROL SERVICES LTD,NI652144,2018-04-04,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
A. G. PRECISION (HUNTINGDON) LIMITED,01115627,1973-05-29,Active,28131 - Manufacture of pumps,,,,,,,,,
A. K. MULLER (UK) LIMITED,02802161,1993-03-22,Active,28131 - Manufacture of pumps,,,,,,,,,
A.B.I. ELECTRONICS LIMITED,01824588,1984-06-14,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
A.E. TAYLOR & CO. (SUNDERLAND) LIMITED,00668702,1960-08-29,Active,22190 - Manufacture of other rubber products,22220 - Manufacture of plastic packing goods,,,,,,,,
A.F.A.C. LIMITED,03949446,2000-03-16,Active,22190 - Manufacture of other rubber products,,,,,,,,,
A.I.P. COMPRESSOR SERVICES LIMITED,01586786,1981-09-21,Active,28132 - Manufacture of compressors,33200 - Installation of industrial machinery and equipment,,,,,,,,
A.M. TRANSFORMERS LIMITED,03610302,1998-08-05,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
A.M.BROWN LTD,06036905,2006-12-22,Active,28131 - Manufacture of pumps,,,,,,,,,
A.P. ALARMS LTD.,02466243,1990-02-02,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
A.T.E. SOLUTIONS LIMITED,04440390,2002-05-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
A.T.H. (HYDRAULICS) LIMITED,04196925,2001-04-09,Active,28120 - Manufacture of fluid power equipment,,,,,,,,,
A.T.P. INSTRUMENTATION LTD.,02570899,1990-12-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
A.W. TECHNOLOGY LIMITED,02496264,1990-04-26,Active,26512 - Manufacture of electronic industrial process control equipment,72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
A2S ELECTRICS LTD,16412401,2025-04-28,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
AB FLUID POWER LTD.,02602712,1991-04-18,Active,28120 - Manufacture of fluid power equipment,,,,,,,,,
AB INDUSTRIAL ELECTRONICS LTD,15389288,2024-01-05,Active,26110 - Manufacture of electronic components,26512 - Manufacture of electronic industrial process control equipment,46520 - Wholesale of electronic and telecommunications equipment and parts,95210 - Repair of consumer electronics,,,,,,
AB7 GLOBAL LIMITED,08132437,2012-07-05,Active - Proposal to Strike off,28120 - Manufacture of fluid power equipment,,,,,,,,,
ABACUS INSTRUMENTS LIMITED,04025137,2000-07-03,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ABALONEUK LIMITED,10269032,2016-07-08,Active - Proposal to Strike off,27120 - Manufacture of electricity distribution and control apparatus,72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
ABB LIMITED,03780764,1999-06-01,Active,27120 - Manufacture of electricity distribution and control apparatus,43210 - Electrical installation,46520 - Wholesale of electronic and telecommunications equipment and parts,70100 - Activities of head offices,,,,,,
ABBEY SPARES AND SUPPLIES LIMITED,05031994,2004-02-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",46520 - Wholesale of electronic and telecommunications equipment and parts,46690 - Wholesale of other machinery and equipment,,,,,,,
ABC CODING LIMITED,07363764,2010-09-02,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ABEL POWER AND CONTROL SOLUTIONS LIMITED,06413433,2007-10-31,Active,26512 - Manufacture of electronic industrial process control equipment,27900 - Manufacture of other electrical equipment,33140 - Repair of electrical equipment,62012 - Business and domestic software development,,,,,,
ABER GROUP LIMITED,14864644,2023-05-12,Active,26512 - Manufacture of electronic industrial process control equipment,64209 - Activities of other holding companies n.e.c.,,,,,,,,
ABER INSTRUMENTS LIMITED,02213855,1988-01-26,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ABERLINK LIMITED,07642245,2011-05-20,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ABINGDON VERIFICATION INSTRUMENTS LTD,13604705,2021-09-06,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ABL SOLUTIONS LIMITED,04655158,2003-02-03,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
ABLE CONTRACT ELECTRONICS LIMITED,05847476,2006-06-15,Liquidation,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ABMM LIMITED,08439448,2013-03-11,Active,22190 - Manufacture of other rubber products,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),,,,,,,,
ABN ENERGIA LTD,15509276,2024-02-21,Active - Proposal to Strike off,27120 - Manufacture of electricity distribution and control apparatus,27320 - Manufacture of other electronic and electric wires and cables,27400 - Manufacture of electric lighting equipment,28131 - Manufacture of pumps,,,,,,
ABRIOX LIMITED,05513831,2005-07-20,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ABSOLUTE AIR & GAS LIMITED,07606699,2011-04-18,Active,28120 - Manufacture of fluid power equipment,28132 - Manufacture of compressors,28990 - Manufacture of other special-purpose machinery n.e.c.,46690 - Wholesale of other machinery and equipment,,,,,,
ABSOLUTE AUTOMATION GROUP LIMITED,09836048,2015-10-21,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
ABSOLUTE AUTOMATION LIMITED,07136386,2010-01-26,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
ABSOLUTE MEASUREMENT LIMITED,09837497,2015-10-22,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ABTECH LIMITED,05842845,2006-06-09,Active,27120 - Manufacture of electricity distribution and control apparatus,27330 - Manufacture of wiring devices,27400 - Manufacture of electric lighting equipment,46180 - Agents specialized in the sale of other particular products,,,,,,
ACAM INSTRUMENTATION LIMITED,01543383,1981-02-04,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACCEL POWER SUPPLIES LIMITED,02586898,1991-02-28,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACCRA TAPS AND VALVES LTD,14171230,2022-06-14,Active,28140 - Manufacture of taps and valves,,,,,,,,,
ACCUDYNE EUROPE LIMITED,11215870,2018-02-20,Active,26512 - Manufacture of electronic industrial process control equipment,26514 - Manufacture of non-electronic industrial process control equipment,28990 - Manufacture of other special-purpose machinery n.e.c.,62012 - Business and domestic software development,,,,,,
ACCUMAX LIMITED,02858585,1993-09-30,Active,26512 - Manufacture of electronic industrial process control equipment,27900 - Manufacture of other electrical equipment,74202 - Other specialist photography,,,,,,,
ACCUOR GROUP UK LTD,12482195,2020-02-25,Active,26512 - Manufacture of electronic industrial process control equipment,27510 - Manufacture of electric domestic appliances,72190 - Other research and experimental development on natural sciences and engineering,"77390 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,,,
ACCURATE CONTROLS LIMITED,02427774,1989-09-29,Liquidation,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACCURATE TECHNOLOGIES (UK) LIMITED,04039716,2000-07-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACCUSPAN LIMITED,14947623,2023-06-20,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACE RUBBER PRODUCTS LTD,08082994,2012-05-25,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ACE VULCANISING & LINING SOLUTIONS LTD,SC612232,2018-10-30,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ACELET TECHNOLOGIES LTD,16460522,2025-05-20,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",62012 - Business and domestic software development,72190 - Other research and experimental development on natural sciences and engineering,86900 - Other human health activities,,,,,,
ACEON BATTERY SOLAR TECHNOLOGY LTD,07301471,2010-07-01,Active,27120 - Manufacture of electricity distribution and control apparatus,27200 - Manufacture of batteries and accumulators,35110 - Production of electricity,46520 - Wholesale of electronic and telecommunications equipment and parts,,,,,,
ACES (ADAMS COMPUTER & ELECTRONIC SERVICES) LIMITED,03172886,1996-03-14,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",62012 - Business and domestic software development,62020 - Information technology consultancy activities,,,,,,,
ACG CONTROL SYSTEMS LTD,15511565,2024-02-21,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ACHECH UK LTD,09944716,2016-01-11,Active,28140 - Manufacture of taps and valves,"46740 - Wholesale of hardware, plumbing and heating equipment and supplies",,,,,,,,
ACKSEN LTD,NI019167,1986-02-05,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACM INSTRUMENTS LTD.,13938770,2022-02-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACME ENGINEERING PRODUCTS UK LIMITED,10414556,2016-10-06,Active,28120 - Manufacture of fluid power equipment,,,,,,,,,
ACO ELECTRONICS LIMITED,02086981,1987-01-05,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACORN INDUSTRIAL RUBBER SOLUTIONS LTD,09984837,2016-02-03,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ACORN PRECISION COMPONENTS LIMITED,03721138,1999-02-25,Liquidation,25990 - Manufacture of other fabricated metal products n.e.c.,28140 - Manufacture of taps and valves,29320 - Manufacture of other parts and accessories for motor vehicles,,,,,,,
ACORN2OAK INNOVATION SOLUTIONS LIMITED,06635265,2008-07-01,Active,22290 - Manufacture of other plastic products,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",32990 - Other manufacturing n.e.c.,72190 - Other research and experimental development on natural sciences and engineering,,,,,,
ACOUSTIC MONITORING INTERNATIONAL LTD,15310630,2023-11-27,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ACOUSTOFAB LTD,15182244,2023-10-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",62012 - Business and domestic software development,71129 - Other engineering activities,72190 - Other research and experimental development on natural sciences and engineering,,,,,,
ACQUAPURO LIMITED,11985603,2019-05-08,Active,28140 - Manufacture of taps and valves,,,,,,,,,
ACQUISITION 23876587 LIMITED,02574270,1991-01-16,Liquidation,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71200 - Technical testing and analysis,72190 - Other research and experimental development on natural sciences and engineering,,,,,,,
ACRASTYLE LIMITED,00728049,1962-06-27,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
ACRITUDO INDUSTRIES LIMITED,12077985,2019-07-01,Active,26512 - Manufacture of electronic industrial process control equipment,35110 - Production of electricity,42220 - Construction of utility projects for electricity and telecommunications,71121 - Engineering design activities for industrial process and production,,,,,,
ACROSPIRE ARCHITECTURAL LIMITED,14742389,2023-03-20,Active,27120 - Manufacture of electricity distribution and control apparatus,32990 - Other manufacturing n.e.c.,,,,,,,,
ACRU ELECTRIC TOOL MANUFACTURING CO. LIMITED(THE),00539360,1954-10-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACS CONTROLS LTD,NI622162,2014-01-07,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
ACS FIRE AND SECURITY LIMITED,06441722,2007-11-30,Active,27120 - Manufacture of electricity distribution and control apparatus,43210 - Electrical installation,,,,,,,,
"ACT GROUP TECHNOLOGY CO., LIMITED",16500807,2025-06-06,Active,20590 - Manufacture of other chemical products n.e.c.,26512 - Manufacture of electronic industrial process control equipment,27120 - Manufacture of electricity distribution and control apparatus,"28150 - Manufacture of bearings, gears, gearing and driving elements",,,,,,
ACT METERS (UK) LTD,08618190,2013-07-22,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ACTASK FLUID CONTROL LIMITED,16046719,2024-10-29,Active,28120 - Manufacture of fluid power equipment,28131 - Manufacture of pumps,28140 - Manufacture of taps and valves,46750 - Wholesale of chemical products,,,,,,
ACTIONFRONT LIMITED,03007676,1995-01-09,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ACTIONZERO UK LIMITED,14055914,2022-04-20,Active,27120 - Manufacture of electricity distribution and control apparatus,71122 - Engineering related scientific and technical consulting activities,71129 - Other engineering activities,,,,,,,
ACTIVE FOOD SYSTEMS LIMITED,03899270,1999-12-20,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ACTIVE KINETIC 1 LTD,15367738,2023-12-22,Active,"27110 - Manufacture of electric motors, generators and transformers","28110 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,,,,,
ACTUATED SOLUTIONS LIMITED,04649595,2003-01-28,Active,28140 - Manufacture of taps and valves,,,,,,,,,
ACUITY INTELLIGENT SPACES UK LIMITED,15655507,2024-04-17,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
ACUMEN ELECTRONICS LTD,16380451,2025-04-10,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AD VICTORIAM LIMITED,11134520,2018-01-05,Active,28120 - Manufacture of fluid power equipment,68209 - Other letting and operating of own or leased real estate,,,,,,,,
ADAPTSYS LIMITED,04784200,2003-06-02,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ADC BIOSCIENTIFIC LIMITED,03460613,1997-11-04,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ADENJU TRADING LIMITED,10309176,2016-08-03,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ADEPT PS LTD,16279561,2025-02-26,Active,"25290 - Manufacture of other tanks, reservoirs and containers of metal",28120 - Manufacture of fluid power equipment,33190 - Repair of other equipment,,,,,,,
ADHESIVE BACKED MATERIALS LTD,04812637,2003-06-26,Active,22190 - Manufacture of other rubber products,22290 - Manufacture of other plastic products,23990 - Manufacture of other non-metallic mineral products n.e.c.,32990 - Other manufacturing n.e.c.,,,,,,
ADHESIVE DEVELOPMENTS LIMITED,00915239,1967-09-13,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ADMIRAL POWER LIMITED,NI707483,2024-01-04,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ADTRAY PROMOTIONS LTD,12777996,2020-07-29,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control","26600 - Manufacture of irradiation, electromedical and electrotherapeutic equipment",27900 - Manufacture of other electrical equipment,,,,,,,
ADVANCE PRODUCT SERVICES LTD.,04460378,2002-06-13,Active,"27110 - Manufacture of electric motors, generators and transformers",33140 - Repair of electrical equipment,74100 - specialised design activities,,,,,,,
ADVANCED AUTOMATION SOLUTIONS LIMITED,04315886,2001-11-02,Active,26512 - Manufacture of electronic industrial process control equipment,27120 - Manufacture of electricity distribution and control apparatus,27900 - Manufacture of other electrical equipment,28990 - Manufacture of other special-purpose machinery n.e.c.,,,,,,
ADVANCED COMPREHENSIVE ENGINEERING SERVICES LIMITED,03880195,1999-11-19,Active,28132 - Manufacture of compressors,,,,,,,,,
ADVANCED ELECTRICAL ENGINEERING SOLUTIONS LTD,14137265,2022-05-27,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",33140 - Repair of electrical equipment,,,,,,,,
ADVANCED ELECTRONIC DESIGNS LTD,03658965,1998-10-29,Active,26120 - Manufacture of loaded electronic boards,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,74100 - specialised design activities,,,,,,
ADVANCED ELECTRONIC SOLUTIONS LTD,04485924,2002-07-15,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",27900 - Manufacture of other electrical equipment,,,,,,,,
ADVANCED ENERGY MONITORING SYSTEMS LIMITED,01589111,1981-10-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ADVANCED HYDRAULICS LTD.,07121700,2010-01-11,Active,28120 - Manufacture of fluid power equipment,,,,,,,,,
ADVANCED IPC LIMITED,15733140,2024-05-21,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71121 - Engineering design activities for industrial process and production,74100 - specialised design activities,,,,,,,
ADVANCED MATERIALS LTD.,03577067,1998-06-05,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ADVANCED MOULD TOOLING LIMITED,05206037,2004-08-13,Active - Proposal to Strike off,22190 - Manufacture of other rubber products,,,,,,,,,
ADVANCED NAVIGATION LIMITED,12698284,2020-06-25,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ADVANCED PAT SERVICES LTD,14207224,2022-06-30,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ADVANCED POLYMERS LIMITED,01164955,1974-03-29,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ADVANCED ROBOTICS LIMITED,04750308,2003-05-01,Active,27120 - Manufacture of electricity distribution and control apparatus,28290 - Manufacture of other general-purpose machinery n.e.c.,33200 - Installation of industrial machinery and equipment,43210 - Electrical installation,,,,,,
ADVANCED SEALS AND GASKETS LIMITED,03265619,1996-10-18,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ADVANCED SENSORS AND AI LTD,16169230,2025-01-07,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",74100 - specialised design activities,,,,,,,,
ADVANCED SENSORS LIMITED,NI053892,2005-02-10,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ADVANCED STRUCTURAL MONITORING LIMITED,06428471,2007-11-15,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ADVANCED WITNESS SYSTEMS LIMITED,02565074,1990-12-04,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control","74909 - Other professional, scientific and technical activities n.e.c.",,,,,,,,
ADVANCED-METERING LTD,14149024,2022-06-05,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ADVION LTD,04314598,2001-10-31,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ADVISE-DETA LIMITED,09702692,2015-07-24,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AE AIR TECHNOLOGY LTD,13994986,2022-03-22,Active,28140 - Manufacture of taps and valves,28250 - Manufacture of non-domestic cooling and ventilation equipment,28290 - Manufacture of other general-purpose machinery n.e.c.,35300 - Steam and air conditioning supply,,,,,,
AE RUBBER (UK) LIMITED,06409525,2007-10-25,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AEDAPT LTD,08405723,2013-02-15,Active,26120 - Manufacture of loaded electronic boards,26512 - Manufacture of electronic industrial process control equipment,71121 - Engineering design activities for industrial process and production,,,,,,,
AEEC EQUIPMENT LIMITED,16390668,2025-04-16,Active,27120 - Manufacture of electricity distribution and control apparatus,28290 - Manufacture of other general-purpose machinery n.e.c.,47910 - Retail sale via mail order houses or via Internet,62090 - Other information technology service activities,,,,,,
AEGIS RUBBER ENGINEERING LIMITED,02744311,1992-09-02,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AEJ PROJECTS INTERNATIONAL LTD,10455884,2016-11-01,Liquidation,22190 - Manufacture of other rubber products,,,,,,,,,
AEJ PROJECTS LIMITED,03024533,1995-02-21,Liquidation,22190 - Manufacture of other rubber products,,,,,,,,,
AEON SYSTEMS LTD,13847556,2022-01-13,Active - Proposal to Strike off,"24200 - Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",28140 - Manufacture of taps and valves,"43220 - Plumbing, heat and air-conditioning installation",43999 - Other specialised construction activities n.e.c.,,,,,,
AEP COMPRESSED AIR TECHNOLOGIES LIMITED,01227271,1975-09-22,Active,28131 - Manufacture of pumps,28132 - Manufacture of compressors,,,,,,,,
AERATORS & FOUNTAINS LIMITED,15368759,2023-12-22,Active,28131 - Manufacture of pumps,74901 - Environmental consulting activities,,,,,,,,
AERIS TECHNOLOGY LTD,12069955,2019-06-26,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AERO STANREW LIMITED,00464848,1949-02-22,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
AERO TEC LABORATORIES LIMITED,03490552,1998-01-09,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AERODYN LTD,06273389,2007-06-08,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AEROFLEX LIMITED,00317241,1936-08-06,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
